"目的基因","处理","fold_change","mean","sd","se","pvalue","significance"
"B","CK",0.679529376241221,1.18347647042191,0.822017352635153,0.274005784211718,0.184239691073833,"NS"
"B","处理1",0.887879745107332,0.642642434933353,0.549539953841416,0.183179984613805,0.184239691073833,"NS"
"B","处理2",0.615748428384541,1.19334418965134,0.705979611901638,0.235326537300546,0.184239691073833,"NS"
"C","CK",1,1,0,0,0.382696706677091,"NS"
"C","处理1",1,1,0,0,0.382696706677091,"NS"
"C","处理2",1,1,0,0,0.382696706677091,"NS"
"D","CK",1,1,0,0,0.382696706677091,"NS"
"D","处理1",1,1,0,0,0.382696706677091,"NS"
"D","处理2",1,1,0,0,0.382696706677091,"NS"
"E","CK",1,1,0,0,0.382696706677091,"NS"
"E","处理1",1,1,0,0,0.382696706677091,"NS"
"E","处理2",1,1,0,0,0.382696706677091,"NS"
